harry@lamp-server:~$ sudo tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet), snapshot length 262144
20:27:42.892917 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1657:1693, ack 1564, win 8202, length 36
20:27:42.893179 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1852:1888, ack 1693, win 1207, length 36
20:27:42.923523 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1693:1729, ack 1600, win 8202, length 36
20:27:42.923666 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1888:1924, ack 1729, win 1207, length 36
20:27:42.954086 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1729:1765, ack 1636, win 8202, length 36
20:27:42.954302 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1924:1960, ack 1765, win 1207, length 36
20:27:42.984577 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1765:1801, ack 1672, win 8202, length 36
20:27:42.984745 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1960:1996, ack 1801, win 1207, length 36
20:27:43.016265 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1801:1837, ack 1708, win 8202, length 36
20:27:43.016417 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1996:2032, ack 1837, win 1207, length 36
20:27:43.047300 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1837:1873, ack 1744, win 8202, length 36
20:27:43.047451 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2032:2068, ack 1873, win 1207, length 36
20:27:43.079005 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1873:1909, ack 1780, win 8202, length 36
20:27:43.079192 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2068:2104, ack 1909, win 1207, length 36
20:27:43.109663 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1909:1945, ack 1816, win 8201, length 36
20:27:43.109827 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2104:2140, ack 1945, win 1207, length 36
20:27:43.141358 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1945:1981, ack 1852, win 8201, length 36
20:27:43.141521 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2140:2176, ack 1981, win 1207, length 36
20:27:43.145029 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [.], ack 1888, win 8207, length 0
20:27:43.175382 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [.], ack 1924, win 8207, length 0
20:27:43.175382 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1981:2017, ack 1924, win 8207, length 36
20:27:43.175529 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2176:2212, ack 2017, win 1207, length 36
20:27:43.203176 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2017:2053, ack 1924, win 8207, length 36
20:27:43.203329 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2212:2248, ack 2053, win 1207, length 36
20:27:43.234580 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2053:2089, ack 1960, win 8206, length 36
20:27:43.234723 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2248:2284, ack 2089, win 1207, length 36
20:27:43.266206 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2089:2125, ack 1996, win 8206, length 36
20:27:43.266344 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2284:2320, ack 2125, win 1207, length 36
20:27:43.296539 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2125:2161, ack 2032, win 8206, length 36
20:27:43.296687 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2320:2356, ack 2161, win 1207, length 36
20:27:43.327482 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2161:2197, ack 2068, win 8206, length 36
20:27:43.327637 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2356:2392, ack 2197, win 1207, length 36
20:27:43.359054 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2197:2233, ack 2104, win 8206, length 36
20:27:43.359195 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2392:2428, ack 2233, win 1207, length 36
20:27:43.389344 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2233:2269, ack 2140, win 8206, length 36
20:27:43.389490 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2428:2464, ack 2269, win 1207, length 36
20:27:43.420859 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2269:2305, ack 2176, win 8206, length 36
20:27:43.421032 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2464:2500, ack 2305, win 1207, length 36
20:27:43.450705 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2305:2341, ack 2212, win 8205, length 36
20:27:43.450930 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2500:2536, ack 2341, win 1207, length 36
20:27:43.481785 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2341:2377, ack 2248, win 8205, length 36
20:27:43.481936 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2536:2572, ack 2377, win 1207, length 36
20:27:43.513848 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2377:2413, ack 2284, win 8205, length 36
20:27:43.514006 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2572:2608, ack 2413, win 1207, length 36
20:27:43.544738 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2413:2449, ack 2320, win 8205, length 36
20:27:43.544889 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2608:2644, ack 2449, win 1207, length 36
20:27:43.576408 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2449:2485, ack 2356, win 8205, length 36
20:27:43.576594 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2644:2680, ack 2485, win 1207, length 36
20:27:43.607883 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2485:2521, ack 2392, win 8205, length 36
20:27:43.608041 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2680:2716, ack 2521, win 1207, length 36
20:27:43.637903 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2521:2557, ack 2428, win 8205, length 36
20:27:43.638123 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2716:2752, ack 2557, win 1207, length 36
20:27:43.668484 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2557:2593, ack 2464, win 8205, length 36
20:27:43.668608 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2752:2788, ack 2593, win 1207, length 36
20:27:43.699182 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2593:2629, ack 2500, win 8204, length 36
20:27:43.699379 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2788:2824, ack 2629, win 1207, length 36
20:27:43.729778 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2629:2665, ack 2536, win 8204, length 36
20:27:43.729924 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2824:2860, ack 2665, win 1207, length 36
20:27:43.760632 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2665:2701, ack 2572, win 8204, length 36
20:27:43.760816 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2860:2896, ack 2701, win 1207, length 36
20:27:43.791311 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2701:2737, ack 2608, win 8204, length 36
20:27:43.791426 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2896:2932, ack 2737, win 1207, length 36
20:27:43.822961 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2737:2773, ack 2644, win 8204, length 36
20:27:43.823113 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2932:2968, ack 2773, win 1207, length 36
20:27:43.853799 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2773:2809, ack 2680, win 8204, length 36
20:27:43.853987 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2968:3004, ack 2809, win 1207, length 36
20:27:43.884811 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2809:2845, ack 2716, win 8204, length 36
20:27:43.884943 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 3004:3040, ack 2845, win 1207, length 36
20:27:43.916221 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2845:2881, ack 2752, win 8203, length 36
20:27:43.916369 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 3040:3076, ack 2881, win 1207, length 36
20:27:43.947301 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2881:2917, ack 2788, win 8203, length 36
20:27:43.947466 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 3076:3112, ack 2917, win 1207, length 36
20:27:43.978447 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2917:2953, ack 2824, win 8203, length 36
20:27:43.978597 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 3112:3148, ack 2953, win 1207, length 36
20:27:44.008290 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2953:2989, ack 2860, win 8203, length 36
20:27:44.008443 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 3148:3184, ack 2989, win 1207, length 36
20:27:44.040296 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 2989:3025, ack 2896, win 8203, length 36
20:27:44.040449 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 3184:3220, ack 3025, win 1207, length 36
20:27:44.071107 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 3025:3061, ack 2932, win 8203, length 36
20:27:44.073241 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 3220:3256, ack 3061, win 1207, length 36
20:27:44.101868 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 3061:3097, ack 2968, win 8203, length 36
